"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","66","Неверный логин → ошибка 404","tests","2026-09-23","passed","2026-09-23","TestLoginCourier","test_login_courier","",""
"","166","Успешный запрос возвращает объект с заказом","tests","2026-09-23","passed","2026-09-23","TestGetOrderByTrack","test_get_order_by_track","",""
"","334","Неверный id курьера → ошибка","tests","2026-09-23","passed","2026-09-23","TestAcceptOrder","test_accept_order","",""
"Для несуществующего курьера → 404 и текст ошибки","109","Список заказов можно отфильтровать по курьеру","tests","2026-09-23","passed","2026-09-23","TestGetOrders","test_get_orders","",""
"","303","Неверный id заказа → ошибка","tests","2026-09-23","passed","2026-09-23","TestAcceptOrder","test_accept_order","",""
"","64","Несуществующий пользователь → ошибка 404","tests","2026-09-23","passed","2026-09-23","TestLoginCourier","test_login_courier","",""
"","76","Создание заказа с разными комбинациями цветов","tests","2026-09-23","passed","2026-09-23","TestCreateOrder","test_create_order","",""
"","127","Создание заказа с разными комбинациями цветов","tests","2026-09-23","passed","2026-09-23","TestCreateOrder","test_create_order","",""
"","58","Неуспешный запрос возвращает ошибку","tests","2026-09-23","passed","2026-09-23","TestDeleteCourier","test_delete_courier","",""
"","51","Если одного из обязательных полей нет → ошибка 400","tests","2026-09-23","passed","2026-09-23","TestCreateCourier","test_create_courier","",""
"","101","Если одного из обязательных полей нет → ошибка 400","tests","2026-09-23","passed","2026-09-23","TestCreateCourier","test_create_courier","",""
"","0","Если не передать password → ошибка (баг API: 504)","tests","2026-09-23","skipped","2026-09-23","TestLoginCourier","test_login_courier","",""
"","15200","В тело ответа возвращается список заказов","tests","2026-09-23","passed","2026-09-23","TestGetOrders","test_get_orders","",""
"Успешный логин → 200 и возвращается id курьера","62","Курьер может авторизоваться","tests","2026-09-23","passed","2026-09-23","TestLoginCourier","test_login_courier","",""
"","52","Если не передать login → ошибка 400","tests","2026-09-23","passed","2026-09-23","TestLoginCourier","test_login_courier","",""
"Второй курьер с тем же логином → 409 и текст ошибки","290","Нельзя создать двух одинаковых курьеров","tests","2026-09-23","passed","2026-09-23","TestCreateCourier","test_create_courier","",""
"","48","Запрос с несуществующим id → ошибка","tests","2026-09-23","passed","2026-09-23","TestDeleteCourier","test_delete_courier","",""
"","56","Неверный пароль → ошибка 404","tests","2026-09-23","passed","2026-09-23","TestLoginCourier","test_login_courier","",""
"","60","Запрос без номера заказа → ошибка","tests","2026-09-23","passed","2026-09-23","TestGetOrderByTrack","test_get_order_by_track","",""
"Успешное создание курьера → 201 и ok: True","192","Курьера можно создать","tests","2026-09-23","passed","2026-09-23","TestCreateCourier","test_create_courier","",""
"","94","Запрос с несуществующим заказом → ошибка","tests","2026-09-23","passed","2026-09-23","TestGetOrderByTrack","test_get_order_by_track","",""
"","73","Создание заказа с разными комбинациями цветов","tests","2026-09-23","passed","2026-09-23","TestCreateOrder","test_create_order","",""
"","49","Создание заказа с разными комбинациями цветов","tests","2026-09-23","passed","2026-09-23","TestCreateOrder","test_create_order","",""
"","61","Запрос без id → ошибка","tests","2026-09-23","passed","2026-09-23","TestDeleteCourier","test_delete_courier","",""
"","280","Без id заказа → ошибка","tests","2026-09-23","passed","2026-09-23","TestAcceptOrder","test_accept_order","",""
"","201","Успешный запрос возвращает ok: true","tests","2026-09-23","passed","2026-09-23","TestDeleteCourier","test_delete_courier","",""
"","497","Успешный запрос возвращает ok: true","tests","2026-09-23","passed","2026-09-23","TestAcceptOrder","test_accept_order","",""
"","268","Без id курьера → ошибка","tests","2026-09-23","passed","2026-09-23","TestAcceptOrder","test_accept_order","",""
